	CNV	Protien	slope	intercept	rValue	pValue	stdErr
0	TMSB4Y	A2M	0.16595145373520476	-0.11316487992416147	0.21135979012366013	0.03669213524732731	0.07832476682147335
1	TMSB4Y	AASS	-0.2963465189230974	-0.08135404050593593	-0.2835625355670631	0.004663090735088226	0.10228525279274028
2	TMSB4Y	ABCB7	-0.4120906717285856	-0.0657520858170408	-0.3351689635410723	0.0007420085795914359	0.11822712475852276
3	TMSB4Y	ABCD4	-0.3228817050968374	-0.07390115551070822	-0.21877164654976797	0.030446670253398582	0.14698294866482717
4	TMSB4Y	ABHD5	0.38109950778940166	-0.06625633121458346	0.20713296089729766	0.04071182774697593	0.18370936423702947
5	TMSB4Y	ACAD10	-0.42314106223203435	-0.05573009415683162	-0.2684805838975713	0.007517953809670403	0.15494997576707475
6	TMSB4Y	ACAP2	0.47681003136329125	-0.08746796657881349	0.22099748822872797	0.028756544436990435	0.2147579470748834
7	TMSB4Y	ACSL1	0.22352209320222546	-0.07999934411334929	0.22447405626241185	0.026276047262894738	0.09903567005862883
8	TMSB4Y	ACTR2	0.4313313703766467	-0.07782502352359567	0.20391011487557417	0.04401799236188672	0.21135607923460964
9	TMSB4Y	ACTR3	0.4022043628060367	-0.11424238432068715	0.2206413964191496	0.029021465286961406	0.18146249482213067
10	TMSB4Y	ADA	0.212429180669977	-0.08185638369209616	0.2031897721918855	0.04478668342577739	0.10447712901871138
11	TMSB4Y	ADAL	-0.2821794851112948	-0.06383347205505628	-0.19858354038796772	0.04996975576569889	0.14213788688635634
12	TMSB4Y	ADAMTSL4	0.16594771205891642	-0.07929897298719706	0.2583828198904239	0.010204573845543616	0.06332399415974804
13	TMSB4Y	ADIPOQ	0.18042958326656378	-0.09443861852495031	0.2592770613990937	0.009936657338449636	0.06859565018667757
14	TMSB4Y	ADSS	0.3644171558513049	-0.07315876015570183	0.23283090865342393	0.021047055857488294	0.15535308087436375
15	TMSB4Y	AFG3L2	-0.26378720539911865	-0.07857388707463717	-0.19877033478865402	0.04975033942895589	0.13274343297200542
16	TMSB4Y	AGK	-0.4037043273829044	-0.10223658082360537	-0.2866620976551792	0.0042135382609097185	0.1377011025969247
17	TMSB4Y	AHSG	0.14173934486635661	-0.09237596862023843	0.20746473478698593	0.04038355978925057	0.06821141286209156
18	TMSB4Y	AIFM1	-0.4253951666346202	-0.06282459462424118	-0.27605588314653584	0.005933549545817256	0.15116362437544525
19	TMSB4Y	AIP	0.37870227101405174	-0.07415775495254327	0.22883699363673027	0.02342271002461479	0.16442062392867607
20	TMSB4Y	AK1	0.1779627325909795	-0.06992569237118722	0.20601120326928968	0.04183826223055934	0.08627509948542213
21	TMSB4Y	ALDH1A3	0.10338768961773853	-0.09758706229505877	0.24571121069331633	0.014739441047568805	0.04162802003843001
22	TMSB4Y	ALDH3A2	-0.21720423865486468	-0.06496277610087389	-0.2093152573922806	0.03859285896777668	0.1035626700527764
23	TMSB4Y	ALOX5	0.13412798964471673	-0.10464678247286671	0.20193885741507966	0.04614802653549071	0.06639313481516564
24	TMSB4Y	AMBP	0.15914849258533412	-0.09162489370226694	0.20355216272785823	0.044398588241771966	0.07812721068270563
25	TMSB4Y	AMDHD2	0.3413472120071894	-0.10467736174623393	0.21508639909387567	0.03342942108422396	0.15818390839130508
26	TMSB4Y	AMPD3	0.20361274156024134	-0.08169193612690627	0.2458119665466773	0.014697410654481088	0.08194687213686654
27	TMSB4Y	ANKRD39	0.46871334054187913	-0.08013387390764799	0.25623221177721645	0.010874964486371373	0.18046443164918233
28	TMSB4Y	ANKRD44	0.5032055861279274	-0.09484940106325575	0.25656935539724646	0.010767388450314365	0.19347217570433523
29	TMSB4Y	ANOS1	0.27233657260022714	-0.08631175654430825	0.27549638004870103	0.006039517467076958	0.09698718387891389
30	TMSB4Y	ANTXR2	0.3206580422109736	-0.0921511869325601	0.24234532633383077	0.016204737912451507	0.13101731348414358
31	TMSB4Y	ANXA11	0.22680314004371654	-0.05730398792232075	0.2382488873957357	0.018156643005030882	0.09436112001736655
32	TMSB4Y	AOAH	0.19788056745049723	-0.10048720088673571	0.2192248810862824	0.03009587144192585	0.08988403877294172
33	TMSB4Y	AP3M1	0.5114404909989934	-0.07202703889355867	0.21762135235814148	0.031352538788836336	0.2341114255033937
34	TMSB4Y	APOE	0.1541442061310995	-0.10385505881586264	0.22390585887421244	0.026668551221108134	0.06847898907689833
35	TMSB4Y	APOO	-0.2698337233161392	-0.08387576645312711	-0.22854133456263692	0.023607337034877787	0.11731325033905908
36	TMSB4Y	ARAP1	0.38651423370466037	-0.09949390999393191	0.2439476419221825	0.015492181105968297	0.15682317331975595
37	TMSB4Y	ARFGAP2	0.5492129758893353	-0.06405502545652939	0.2210806074518318	0.0286950023040783	0.24727086553836544
38	TMSB4Y	ARHGAP25	0.27982293450582024	-0.1003321319567612	0.25464907355103666	0.011392782627883496	0.10845438666425387
39	TMSB4Y	ARHGAP27	0.3063659454005431	-0.10125750245788456	0.24372985939776257	0.015587407573668152	0.12442213286379802
40	TMSB4Y	ARHGAP30	0.18716824294483547	-0.1057692183215541	0.20583566933624745	0.04201685559984773	0.09081867524869286
41	TMSB4Y	ARHGDIB	0.15779457382281808	-0.11854238750964985	0.21790921879737418	0.03112373247006621	0.07213015854334219
42	TMSB4Y	ARL6IP6	-0.3217313731609954	-0.06215100007704701	-0.24159916388166155	0.01654612081869201	0.13188714782623823
43	TMSB4Y	ARMC10	-0.35280258229391154	-0.07538193329446476	-0.20794210311248149	0.03991511410142476	0.16937730961282305
